match_id,date,competition,season,stage,group,team_a,team_b,score_a,score_b,neutral_venue,host_country,source,fifa_rank_points_a,fifa_rank_position_a,elo_pre_match_a,pi_rating_pre_match_a,rolling_form_points_last_5_a,rolling_goal_diff_last_5_a,attack_strength_a,defense_strength_a,clean_sheet_rate_a,concede_rate_a,draw_rate_a,first_goal_rate_a,comeback_rate_a,penalty_shootout_history_a,tournament_experience_a,world_cup_experience_a,host_flag_a,same_confederation_flag_a,confederation_strength_index_a,fifa_rank_points_b,fifa_rank_position_b,elo_pre_match_b,pi_rating_pre_match_b,rolling_form_points_last_5_b,rolling_goal_diff_last_5_b,attack_strength_b,defense_strength_b,clean_sheet_rate_b,concede_rate_b,draw_rate_b,first_goal_rate_b,comeback_rate_b,penalty_shootout_history_b,tournament_experience_b,world_cup_experience_b,host_flag_b,same_confederation_flag_b,confederation_strength_index_b,elo_diff,pi_diff,form_diff,fifa_points_diff,attack_diff,defense_diff,stage_group,stage_knockout,round_of_tournament,host_continent_advantage,same_confederation_flag,outcome,squad_value_total_diff,squad_value_top11_diff,reputation_a,reputation_b,reputation_diff,fifa_overreaction_proxy,public_bias_proxy,rest_days_team_a,rest_days_team_b,rest_diff,travel_burden_proxy_team_a,travel_burden_proxy_team_b,fatigue_index_a,fatigue_index_b,world_cup_points_so_far_state_a,world_cup_goal_diff_so_far_state_a,world_cup_goals_for_so_far_state_a,world_cup_goals_against_so_far_state_a,world_cup_clean_sheets_state_a,world_cup_form_last_1_state_a,world_cup_form_last_2_state_a,cards_accumulated_state_a,suspension_risk_proxy_state_a,world_cup_points_so_far_state_b,world_cup_goal_diff_so_far_state_b,world_cup_goals_for_so_far_state_b,world_cup_goals_against_so_far_state_b,world_cup_clean_sheets_state_b,world_cup_form_last_1_state_b,world_cup_form_last_2_state_b,cards_accumulated_state_b,suspension_risk_proxy_state_b,wc_points_diff,wc_goal_diff_diff,volatility_index,upset_window_score,draw_trap_score,favorite_fragility_score,underdog_live_value_score,match_entropy,confidence_gap,penalty_risk_score
kaggle_0,2014-01-01,OTHER,2014.0,historical,,Kuwait,Jordan,1.0,2.0,True,Qatar,kaggle_international,800.0,100.0,1480.7464532584,-0.012867003945816259,4.5,0.0,1.1983471074380165,0.415807560137457,0.2644628099173554,0.7355371900826446,0.2975206611570248,0.5,0.1,0.0,3.0,0.0,0,0,0.75,800.0,100.0,1635.2037291854963,0.7983404459211325,-2.5,0.0,1.4457142857142857,0.48611111111111116,0.4057142857142857,0.5942857142857143,0.24,0.5,0.1,0.0,17.0,3.0,0,0,0.75,-154.45727592709636,-0.8112074498669488,7.0,0.0,0.7122359963269054,-1.0299067255768288,0,0,0,0,1,A,0.0,0.0,0.4,0.4,0.0,-0.6482569738112355,-0.2593027895244942,10.0,10.0,0.0,0.3,0.3,0.9090909090909092,0.9090909090909092,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,0.4503852833589269,0.6152696983512489,0.0,0.7673090451331157,0.6608815023858089,0.4503852833589269,0.5496147166410731,0.0
kaggle_1,2014-01-04,OTHER,2014.0,historical,,Bahrain,Jordan,0.0,1.0,True,Qatar,kaggle_international,800.0,100.0,1556.6345665444812,-0.0149774049356272,5.0,0.0,1.2974683544303798,0.4922118380062305,0.4177215189873418,0.5822784810126582,0.2468354430379747,0.5,0.1,0.0,11.0,0.0,0,0,0.75,800.0,100.0,1635.2037291854963,0.7983404459211325,-2.5,0.0,1.4457142857142857,0.48611111111111116,0.4057142857142857,0.5942857142857143,0.24,0.5,0.1,0.0,17.0,3.0,0,0,0.75,-78.56916264101505,-0.8133178508567597,7.5,0.0,0.8113572433192686,-0.9535024477080553,0,0,0,0,1,A,0.0,0.0,0.4,0.4,0.0,-0.3738109828548122,-0.14952439314192487,10.0,3.0,7.0,0.3,0.3,0.9090909090909092,1.5,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,-2.0,8.0,0.6956772894187917,0.7869741025931543,0.053577093397462416,0.824659404192128,0.7982796930728464,0.6956772894187917,0.30432271058120836,0.0
kaggle_2,2014-01-04,FRIENDLY,2014.0,historical,,Namibia,Ghana,0.0,1.0,False,Namibia,kaggle_international,800.0,100.0,1424.4447102968932,-0.47618494453851556,-1.5,0.0,0.9405940594059405,0.4719626168224299,0.33663366336633666,0.6633663366336633,0.26732673267326734,0.5,0.1,0.0,7.0,0.0,0,0,0.75,800.0,100.0,1649.8230226174387,0.7319832946686948,4.5,0.0,1.330827067669173,0.4962686567164179,0.3684210526315789,0.631578947368421,0.2857142857142857,0.5,0.1,0.0,32.0,10.0,0,0,0.75,-225.37831232054555,-1.2081682392072104,-6.0,0.0,0.44432540268952264,-0.858864450846743,0,0,0,0,1,A,0.0,0.0,0.4,0.4,0.0,-0.8099527207126175,-0.323981088285047,10.0,10.0,0.0,0.3,0.3,0.9090909090909092,0.9090909090909092,1.0,-2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,-7.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,-4.0,5.0,0.2829661008247678,0.4980762705773375,0.0,0.7322532511445587,0.5683293647475038,0.2829661008247678,0.7170338991752322,0.0
kaggle_3,2014-01-04,FRIENDLY,2014.0,historical,,Nigeria,Ethiopia,2.0,1.0,False,Nigeria,kaggle_international,800.0,100.0,1815.6027469066732,1.3833048457014696,9.0,0.0,1.4827586206896552,0.5141843971631206,0.3793103448275862,0.6206896551724138,0.2896551724137931,0.5,0.1,0.0,32.0,7.0,0,0,0.75,800.0,100.0,1394.5712633435098,-0.307241941355174,6.5,0.0,1.076086956521739,0.40707964601769914,0.25,0.75,0.30434782608695654,0.5,0.1,0.0,3.0,0.0,0,0,0.75,421.0314835631634,1.6905467870566437,2.5,0.0,1.0756789746719562,-0.5619025593586184,0,0,0,0,1,H,0.0,0.0,0.4,0.4,0.0,0.9707507190874769,0.3883002876349908,10.0,10.0,0.0,0.3,0.3,0.9090909090909092,0.9090909090909092,19.0,11.0,18.0,7.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,10.0,0.06660508277587707,0.0,0.0,0.16747476673447986,0.05024243002034396,0.06660508277587707,0.9333949172241229,0.0
kaggle_4,2014-01-04,OTHER,2014.0,historical,,Qatar,Kuwait,3.0,0.0,False,Qatar,kaggle_international,800.0,100.0,1495.5942270394492,-0.15437058730618242,-0.25,0.0,1.6063829787234043,0.45520581113801456,0.3670212765957447,0.6329787234042553,0.21808510638297873,0.5,0.1,0.0,35.0,6.0,0,0,0.75,800.0,100.0,1480.7464532584,-0.012867003945816259,4.5,0.0,1.1983471074380165,0.415807560137457,0.2644628099173554,0.7355371900826446,0.2975206611570248,0.5,0.1,0.0,3.0,0.0,0,0,0.75,14.847773781049227,-0.14150358336036617,-4.75,0.0,1.1905754185859472,-0.7431412963000019,0,0,0,0,1,H,0.0,0.0,0.4,0.4,0.0,0.07410278197006064,0.029641112788024254,10.0,3.0,7.0,0.3,0.3,0.9090909090909092,1.5,2.0,-9.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,0.9406786366046062,0.922882227585988,0.4878805655473769,0.8555036559380762,0.9026686560916144,0.9406786366046062,0.05932136339539382,0.0
kaggle_5,2014-01-07,OTHER,2014.0,historical,,Bahrain,Kuwait,0.0,0.0,True,Qatar,kaggle_international,800.0,100.0,1556.6345665444812,-0.0149774049356272,5.0,0.0,1.2974683544303798,0.4922118380062305,0.4177215189873418,0.5822784810126582,0.2468354430379747,0.5,0.1,0.0,11.0,0.0,0,0,0.75,800.0,100.0,1480.7464532584,-0.012867003945816259,4.5,0.0,1.1983471074380165,0.415807560137457,0.2644628099173554,0.7355371900826446,0.2975206611570248,0.5,0.1,0.0,3.0,0.0,0,0,0.75,75.8881132860813,-0.0021104009898109417,0.5,0.0,0.8816607942929228,-0.7061352694317861,0,0,0,0,1,D,0.0,0.0,0.4,0.4,0.0,0.36222153269596963,0.14488861307838785,3.0,3.0,0.0,0.3,0.3,1.5,1.5,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.7054397808973882,0.6170717151666048,0.7602797167847967,0.6784100593498926,0.6354732184215911,0.7054397808973882,0.2945602191026118,0.0
kaggle_6,2014-01-07,OTHER,2014.0,historical,,Qatar,Jordan,2.0,0.0,False,Qatar,kaggle_international,800.0,100.0,1495.5942270394492,-0.15437058730618242,-0.25,0.0,1.6063829787234043,0.45520581113801456,0.3670212765957447,0.6329787234042553,0.21808510638297873,0.5,0.1,0.0,35.0,6.0,0,0,0.75,800.0,100.0,1635.2037291854963,0.7983404459211325,-2.5,0.0,1.4457142857142857,0.48611111111111116,0.4057142857142857,0.5942857142857143,0.24,0.5,0.1,0.0,17.0,3.0,0,0,0.75,-139.60950214604713,-0.952711033227315,2.25,0.0,1.1202718676122931,-0.9905084745762711,0,0,0,0,1,H,0.0,0.0,0.4,0.4,0.0,-0.6031269923024581,-0.24125079692098328,3.0,3.0,0.0,0.3,0.3,1.5,1.5,2.0,-9.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,-10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49318241992736267,0.6452276939491539,0.42597624463488215,0.7769252296217843,0.684736954650943,0.49318241992736267,0.5068175800726373,0.0
kaggle_7,2014-01-07,FRIENDLY,2014.0,historical,,Zimbabwe,Gabon,2.0,0.0,True,South Africa,kaggle_international,800.0,100.0,1462.4695569466228,0.11670700917788929,7.25,0.0,1.2307692307692308,0.4792626728110599,0.33653846153846156,0.6634615384615384,0.375,0.5,0.1,0.0,12.0,0.0,0,0,0.75,800.0,100.0,1511.7377107250861,0.04930108600590571,-0.25,0.0,1.1559633027522935,0.45798319327731096,0.3302752293577982,0.6697247706422018,0.30275229357798167,0.5,0.1,0.0,13.0,0.0,0,0,0.75,-49.26815377846333,0.06740592317198357,7.5,0.0,0.7727860374919199,-0.6767006299412337,0,0,0,0,1,H,0.0,0.0,0.4,0.4,0.0,-0.24147586070655863,-0.09659034428262346,10.0,10.0,0.0,0.3,0.3,0.9090909090909092,0.9090909090909092,6.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,-2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.8054396409036847,0.8638077486325793,0.12682961555384165,0.8515497710545918,0.860130355359183,0.8054396409036847,0.19456035909631533,0.0
kaggle_8,2014-01-15,FRIENDLY,2014.0,historical,,Moldova,Norway,1.0,2.0,True,United Arab Emirates,kaggle_international,800.0,100.0,1238.1565648484404,-0.9635348924970617,0.5,0.0,0.7007874015748031,0.35082872928176795,0.1968503937007874,0.8031496062992126,0.2283464566929134,0.5,0.1,0.0,0.0,0.0,0,0,0.75,800.0,100.0,1809.0916071726824,1.627400535188648,10.75,0.0,1.7857142857142858,0.47191011235955055,0.373015873015873,0.626984126984127,0.21428571428571427,0.5,0.1,0.0,4.0,4.0,0,0,0.75,-570.935042324242,-2.59093542768571,-10.25,0.0,0.22887728921525258,-1.4348855564325178,0,0,0,0,1,A,0.0,0.0,0.4,0.4,0.0,-0.9933922533661919,-0.3973569013464768,10.0,10.0,0.0,0.3,0.3,0.9090909090909092,0.9090909090909092,2.0,-3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,-9.0,-5.0,0.020554740057830756,0.3143883180404815,0.0,0.6972284182421093,0.42924034810096984,0.020554740057830756,0.9794452599421692,0.0
kaggle_9,2014-01-17,FRIENDLY,2014.0,historical,,Moldova,Sweden,1.0,2.0,True,United Arab Emirates,kaggle_international,800.0,100.0,1238.1565648484404,-0.9635348924970617,0.5,0.0,0.7007874015748031,0.35082872928176795,0.1968503937007874,0.8031496062992126,0.2283464566929134,0.5,0.1,0.0,0.0,0.0,0,0,0.75,800.0,100.0,1681.5217216466915,0.9532434568142651,4.5,0.0,1.5789473684210527,0.4691358024691358,0.35526315789473684,0.6447368421052632,0.19078947368421054,0.5,0.1,0.0,16.0,9.0,0,0,0.75,-443.36515679825106,-1.9167783493113268,-4.0,0.0,0.23165159910566735,-1.2281186391392847,0,0,0,0,1,A,0.0,0.0,0.4,0.4,0.0,-0.9765364128268723,-0.39061456513074894,2.0,10.0,-8.0,0.3,0.3,1.5,0.9090909090909092,2.0,-3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,-9.0,-4.0,0.056012522891460415,0.3392087660240223,0.0,0.6983274892985907,0.4469443830063928,0.056012522891460415,0.9439874771085396,0.0
