feature,importance
elo_diff,0.16521324
pi_diff,0.1516654
squad_value_total_diff,0.049795058
reputation_b,0.047820214
attack_diff,0.045662478
defense_diff,0.045140598
reputation_diff,0.044555876
rest_days_team_b,0.044243444
form_diff,0.043314237
wc_goal_diff_diff,0.043173674
stage_group,0.041700657
wc_points_diff,0.04130526
rest_diff,0.04070487
fatigue_index_b,0.040446777
rest_days_team_a,0.040368248
fatigue_index_a,0.039535653
host_continent_advantage,0.03822634
reputation_a,0.03712798
stage_knockout,0.0
