team,world_cup_points_so_far,world_cup_goal_diff_so_far,world_cup_goals_for_so_far,world_cup_goals_against_so_far,world_cup_clean_sheets
Senegal,19.0,6.0,20.0,14.0,5.0
Sudan,0.0,-2.0,1.0,3.0,0.0
Mali,2.0,-3.0,1.0,4.0,1.0
Tunisia,5.0,-15.0,4.0,19.0,2.0
South Africa,9.0,-3.0,6.0,9.0,3.0
Cameroon,6.0,0.0,4.0,4.0,1.0
Morocco,28.0,19.0,25.0,6.0,7.0
Tanzania,3.0,4.0,6.0,2.0,1.0
Egypt,19.0,8.0,17.0,9.0,4.0
Benin,7.0,-4.0,5.0,9.0,2.0
Nigeria,19.0,11.0,18.0,7.0,6.0
Mozambique,0.0,-5.0,0.0,5.0,0.0
Ivory Coast,18.0,10.0,16.0,6.0,5.0
Burkina Faso,5.0,-1.0,8.0,9.0,1.0
Algeria,17.0,9.0,18.0,9.0,5.0
DR Congo,7.0,1.0,4.0,3.0,3.0
Bolivia,7.0,-6.0,7.0,13.0,1.0
Panama,9.0,-6.0,11.0,17.0,0.0
Grenada,0.0,-13.0,0.0,13.0,0.0
Jamaica,9.0,-1.0,4.0,5.0,3.0
Mexico,29.0,19.0,21.0,2.0,9.0
Uzbekistan,5.0,-10.0,8.0,18.0,1.0
China,8.0,1.0,6.0,5.0,2.0
Iceland,2.0,-8.0,3.0,11.0,0.0
Trinidad and Tobago,1.0,-14.0,3.0,17.0,0.0
Equatorial Guinea,4.0,0.0,2.0,2.0,1.0
Kyrgyzstan,2.0,-4.0,2.0,6.0,2.0
Bermuda,3.0,1.0,3.0,2.0,1.0
Kazakhstan,7.0,1.0,5.0,4.0,2.0
Namibia,1.0,-2.0,0.0,2.0,1.0
Puerto Rico,6.0,3.0,6.0,3.0,2.0
Guam,3.0,-7.0,8.0,15.0,1.0
United States Virgin Islands,3.0,1.0,5.0,4.0,0.0
American Samoa,0.0,-9.0,2.0,11.0,0.0
Liechtenstein,3.0,-6.0,2.0,8.0,1.0
Aruba,6.0,2.0,8.0,6.0,0.0
Macau,0.0,-9.0,1.0,10.0,0.0
Bonaire,3.0,-3.0,3.0,6.0,0.0
Saint Vincent and the Grenadines,3.0,-1.0,4.0,5.0,0.0
Dominican Republic,2.0,-2.0,5.0,7.0,0.0
El Salvador,5.0,0.0,3.0,3.0,2.0
Bahamas,0.0,-3.0,1.0,4.0,0.0
Anguilla,3.0,-2.0,3.0,5.0,0.0
Czech Republic,8.0,5.0,11.0,6.0,0.0
Republic of Ireland,9.0,6.0,9.0,3.0,3.0
Slovakia,7.0,2.0,9.0,7.0,1.0
Kosovo,6.0,2.0,8.0,6.0,1.0
Saint Martin,6.0,5.0,6.0,1.0,1.0
Barbados,0.0,-3.0,3.0,6.0,0.0
Denmark,8.0,5.0,8.0,3.0,2.0
North Macedonia,2.0,-8.0,0.0,8.0,2.0
Martinique,1.0,-1.0,2.0,3.0,0.0
Cuba,2.0,0.0,3.0,3.0,0.0
Cayman Islands,4.0,-2.0,3.0,5.0,1.0
British Virgin Islands,7.0,2.0,7.0,5.0,2.0
Turkey,15.0,5.0,11.0,6.0,3.0
Romania,4.0,-2.0,3.0,5.0,0.0
Vietnam,3.0,3.0,3.0,0.0,1.0
Bangladesh,3.0,-2.0,2.0,4.0,0.0
Wales,3.0,-1.0,4.0,5.0,0.0
Bosnia and Herzegovina,4.0,0.0,3.0,3.0,1.0
Poland,4.0,-2.0,6.0,8.0,0.0
Albania,0.0,-4.0,1.0,5.0,0.0
Georgia,8.0,4.0,7.0,3.0,2.0
Israel,4.0,1.0,3.0,2.0,1.0
Brazil,16.0,12.0,19.0,7.0,2.0
France,18.0,12.0,19.0,7.0,1.0
Suriname,0.0,-1.0,1.0,2.0,0.0
Italy,10.0,4.0,5.0,1.0,3.0
Northern Ireland,4.0,-3.0,3.0,6.0,1.0
Ukraine,6.0,0.0,5.0,5.0,2.0
Sweden,11.0,1.0,16.0,15.0,0.0
Cyprus,7.0,2.0,6.0,4.0,1.0
Belarus,10.0,5.0,9.0,4.0,1.0
Moldova,2.0,-3.0,5.0,8.0,0.0
Lithuania,4.0,-1.0,3.0,4.0,1.0
Colombia,13.0,4.0,11.0,7.0,3.0
Croatia,12.0,-2.0,10.0,12.0,1.0
New Caledonia,0.0,-1.0,0.0,1.0,0.0
Spain,15.0,10.0,12.0,2.0,5.0
Serbia,3.0,-9.0,3.0,12.0,0.0
Belize,0.0,-3.0,3.0,6.0,0.0
Sint Maarten,4.0,1.0,3.0,2.0,1.0
Curaçao,4.0,-13.0,7.0,20.0,2.0
Montenegro,7.0,2.0,7.0,5.0,2.0
Andorra,4.0,-4.0,2.0,6.0,2.0
England,14.0,7.0,11.0,4.0,4.0
Uruguay,4.0,-1.0,4.0,5.0,1.0
Guatemala,0.0,-14.0,1.0,15.0,0.0
Netherlands,14.0,7.0,15.0,8.0,0.0
Norway,11.0,2.0,13.0,11.0,1.0
Solomon Islands,0.0,-10.0,4.0,14.0,0.0
Bulgaria,7.0,8.0,13.0,5.0,1.0
Azerbaijan,7.0,4.0,9.0,5.0,0.0
Saint Lucia,0.0,-5.0,1.0,6.0,0.0
Guinea,1.0,-2.0,2.0,4.0,0.0
Togo,8.0,5.0,9.0,4.0,1.0
Gabon,1.0,-2.0,3.0,5.0,0.0
Liberia,4.0,0.0,5.0,5.0,0.0
Costa Rica,1.0,-10.0,3.0,13.0,0.0
Jordan,2.0,-10.0,8.0,18.0,0.0
Guyana,6.0,4.0,5.0,1.0,1.0
Dominica,1.0,-2.0,0.0,2.0,1.0
Switzerland,12.0,6.0,15.0,9.0,1.0
Germany,18.0,13.0,22.0,9.0,1.0
Indonesia,9.0,7.0,8.0,1.0,3.0
Saint Kitts and Nevis,3.0,-2.0,4.0,6.0,0.0
Austria,13.0,6.0,13.0,7.0,2.0
Ghana,5.0,-7.0,5.0,12.0,2.0
Argentina,21.0,18.0,20.0,2.0,5.0
Mauritania,4.0,0.0,3.0,3.0,1.0
Saudi Arabia,6.0,-7.0,6.0,13.0,3.0
Venezuela,7.0,4.0,7.0,3.0,2.0
Rwanda,6.0,6.0,6.0,0.0,2.0
Russia,10.0,7.0,9.0,2.0,3.0
Nicaragua,1.0,-6.0,1.0,7.0,1.0
Kenya,5.0,3.0,5.0,2.0,1.0
Estonia,7.0,0.0,3.0,3.0,2.0
Greece,2.0,-2.0,2.0,4.0,1.0
Paraguay,10.0,2.0,8.0,6.0,4.0
Australia,11.0,4.0,9.0,5.0,3.0
Iran,12.0,8.0,14.0,6.0,3.0
New Zealand,4.0,-10.0,8.0,18.0,0.0
Finland,4.0,-3.0,4.0,7.0,1.0
Libya,2.0,0.0,2.0,2.0,1.0
Niger,2.0,-2.0,1.0,3.0,1.0
Chile,6.0,-1.0,8.0,9.0,0.0
Cape Verde,4.0,-2.0,6.0,8.0,1.0
Ecuador,12.0,4.0,9.0,5.0,2.0
Scotland,9.0,2.0,9.0,7.0,2.0
Japan,14.0,7.0,10.0,3.0,4.0
Botswana,3.0,-2.0,1.0,3.0,1.0
Zimbabwe,6.0,2.0,4.0,2.0,2.0
United States,9.0,-1.0,14.0,15.0,1.0
Belgium,15.0,14.0,19.0,5.0,3.0
Comoros,4.0,0.0,1.0,1.0,2.0
Peru,4.0,-3.0,5.0,8.0,0.0
Portugal,15.0,9.0,12.0,3.0,4.0
Canada,13.0,8.0,14.0,6.0,4.0
Haiti,4.0,-4.0,8.0,12.0,1.0
Madagascar,4.0,-1.0,6.0,7.0,0.0
Hungary,10.0,4.0,6.0,2.0,2.0
Slovenia,4.0,-1.0,5.0,6.0,0.0
Guinea-Bissau,1.0,-5.0,1.0,6.0,0.0
South Korea,9.0,0.0,8.0,8.0,2.0
San Marino,1.0,-3.0,3.0,6.0,1.0
Faroe Islands,6.0,1.0,3.0,2.0,1.0
Armenia,2.0,-1.0,3.0,4.0,0.0
Sierra Leone,4.0,-1.0,3.0,4.0,1.0
Honduras,1.0,-2.0,2.0,4.0,0.0
Gambia,0.0,-4.0,2.0,6.0,0.0
Zambia,0.0,-5.0,0.0,5.0,0.0
Iraq,7.0,-11.0,5.0,16.0,1.0
Malawi,1.0,-2.0,1.0,3.0,0.0
Burundi,0.0,-5.0,0.0,5.0,0.0
India,1.0,-5.0,2.0,7.0,0.0
Qatar,2.0,-9.0,2.0,11.0,1.0
Singapore,3.0,3.0,5.0,2.0,1.0
Mongolia,0.0,-6.0,0.0,6.0,0.0
Maldives,0.0,-4.0,0.0,4.0,0.0
Pakistan,9.0,7.0,7.0,0.0,3.0
Malta,3.0,1.0,3.0,2.0,1.0
Afghanistan,3.0,-3.0,1.0,4.0,1.0
Philippines,6.0,8.0,10.0,2.0,0.0
Gibraltar,6.0,7.0,8.0,1.0,1.0
Luxembourg,3.0,0.0,1.0,1.0,1.0
Cambodia,6.0,6.0,6.0,0.0,2.0
Bhutan,0.0,-4.0,0.0,4.0,0.0
Lesotho,1.0,0.0,1.0,1.0,0.0
Thailand,2.0,0.0,2.0,2.0,1.0
Kuwait,1.0,0.0,2.0,2.0,0.0
Tajikistan,4.0,2.0,4.0,2.0,0.0
Central African Republic,1.0,-3.0,1.0,4.0,0.0
Bahrain,0.0,-2.0,0.0,2.0,0.0
Oman,0.0,-3.0,0.0,3.0,0.0
Syria,0.0,-3.0,1.0,4.0,0.0
Hong Kong,3.0,0.0,2.0,2.0,1.0
Angola,4.0,3.0,4.0,1.0,1.0
Myanmar,3.0,1.0,7.0,6.0,0.0
Latvia,1.0,-1.0,1.0,2.0,0.0
Palestine,2.0,0.0,0.0,0.0,2.0
Vanuatu,3.0,1.0,2.0,1.0,0.0
Fiji,0.0,-1.0,1.0,2.0,0.0
Ethiopia,4.0,1.0,2.0,1.0,1.0
Bosnia-Herzegovina,4.0,-1.0,5.0,6.0,0.0
Czechia,1.0,-4.0,2.0,6.0,0.0
Cape Verde Islands,3.0,0.0,2.0,2.0,2.0
Congo DR,4.0,1.0,4.0,3.0,0.0
