date,stage,team_a,team_b,p_home,p_draw,p_away,profile,pick,confidence,rationale,scoreline
2026-06-29,ROUND_OF_32,Germany,Paraguay,0.65242796746128,0.23032377506783577,0.11724825747088417,aggressive,H,0.6377393148116213,"profile=aggressive, p=[0.638, 0.248, 0.115]","(1, 1)"
2026-06-29,ROUND_OF_32,Netherlands,Morocco,0.4737387213083652,0.2879631570650436,0.23829812162659117,aggressive,A,0.23162808613184518,"profile=aggressive, p=[0.46, 0.308, 0.232], aggressive -> upset trigger","(1, 1)"
2026-06-29,ROUND_OF_32,Brazil,Japan,0.44710236355015237,0.279047002182472,0.2738506342673756,aggressive,A,0.26641636545608843,"profile=aggressive, p=[0.435, 0.299, 0.266], aggressive -> upset trigger","(1, 1)"
2026-06-30,ROUND_OF_32,Ivory Coast,Norway,0.3618454011963677,0.29105268360954634,0.347101915194086,aggressive,A,0.33728514066098564,"profile=aggressive, p=[0.352, 0.311, 0.337], aggressive -> upset trigger","(1, 1)"
2026-06-30,ROUND_OF_32,Mexico,Ecuador,0.3641009734887555,0.3272878016825655,0.3086112248286791,aggressive,H,0.352562047732837,"profile=aggressive, p=[0.353, 0.349, 0.299]","(0, 0)"
2026-06-30,ROUND_OF_32,France,Sweden,0.6994186953401202,0.1919809487102061,0.10860035594967371,aggressive,H,0.6862441157021899,"profile=aggressive, p=[0.686, 0.207, 0.107]","(2, 1)"
2026-07-01,ROUND_OF_32,England,Congo DR,0.7398706233403415,0.17439336763808092,0.0857360090215775,aggressive,H,0.7271889306871745,"profile=aggressive, p=[0.727, 0.189, 0.084]","(2, 0)"
2026-07-01,ROUND_OF_32,United States,Bosnia-Herzegovina,0.6687742264731282,0.2152459572000948,0.11597981632677705,aggressive,H,0.6546824513821428,"profile=aggressive, p=[0.655, 0.232, 0.114]","(1, 1)"
2026-07-01,ROUND_OF_32,Belgium,Senegal,0.4866132271195562,0.29272689266317437,0.22065988021726943,aggressive,A,0.21438427592454573,"profile=aggressive, p=[0.473, 0.313, 0.214], aggressive -> upset trigger","(1, 1)"
2026-07-02,ROUND_OF_32,Spain,Austria,0.6361406729790258,0.23275359304765295,0.13110573397332126,aggressive,H,0.6216710557862286,"profile=aggressive, p=[0.622, 0.25, 0.128]","(1, 1)"
2026-07-02,ROUND_OF_32,Switzerland,Algeria,0.41474826406199705,0.27715961594863264,0.30809211998937025,aggressive,A,0.29978333654685757,"profile=aggressive, p=[0.404, 0.297, 0.3], aggressive -> upset trigger","(1, 1)"
2026-07-02,ROUND_OF_32,Portugal,Croatia,0.5950580485911736,0.24156083314547128,0.16338111826335508,aggressive,H,0.5810228131100351,"profile=aggressive, p=[0.581, 0.259, 0.16]","(2, 0)"
2026-07-03,ROUND_OF_32,Australia,Egypt,0.4620564295684151,0.283174771400089,0.25476879903149585,aggressive,A,0.24775305748966497,"profile=aggressive, p=[0.449, 0.303, 0.248], aggressive -> upset trigger","(1, 1)"
2026-07-03,ROUND_OF_32,Argentina,Cape Verde Islands,0.7564315440562025,0.16910410685713287,0.07446434908666459,aggressive,H,0.743852689585637,"profile=aggressive, p=[0.744, 0.183, 0.073]","(2, 0)"
2026-07-03,ROUND_OF_32,Colombia,Ghana,0.6241465458019376,0.24292490014091092,0.1329285540571515,aggressive,H,0.6093440612781915,"profile=aggressive, p=[0.609, 0.261, 0.13]","(1, 0)"
