date,stage,team_a,team_b,p_home,p_draw,p_away,profile,pick,confidence,rationale,scoreline
2026-06-29,ROUND_OF_32,Germany,Paraguay,0.65242796746128,0.23032377506783577,0.11724825747088417,balanced,H,0.6524279674612801,"profile=balanced, p=[0.652, 0.23, 0.117]","(1, 1)"
2026-06-29,ROUND_OF_32,Netherlands,Morocco,0.4737387213083652,0.2879631570650436,0.23829812162659117,balanced,D,0.2879631570650436,"profile=balanced, p=[0.474, 0.288, 0.238], balanced -> draw fallback","(1, 1)"
2026-06-29,ROUND_OF_32,Brazil,Japan,0.44710236355015237,0.279047002182472,0.2738506342673756,balanced,D,0.279047002182472,"profile=balanced, p=[0.447, 0.279, 0.274], balanced -> draw fallback","(1, 1)"
2026-06-30,ROUND_OF_32,Ivory Coast,Norway,0.3618454011963677,0.29105268360954634,0.347101915194086,balanced,D,0.29105268360954634,"profile=balanced, p=[0.362, 0.291, 0.347], balanced -> draw fallback","(1, 1)"
2026-06-30,ROUND_OF_32,Mexico,Ecuador,0.3641009734887555,0.3272878016825655,0.3086112248286791,balanced,D,0.3272878016825655,"profile=balanced, p=[0.364, 0.327, 0.309], balanced -> draw fallback","(0, 0)"
2026-06-30,ROUND_OF_32,France,Sweden,0.6994186953401202,0.1919809487102061,0.10860035594967371,balanced,H,0.6994186953401202,"profile=balanced, p=[0.699, 0.192, 0.109]","(2, 1)"
2026-07-01,ROUND_OF_32,England,Congo DR,0.7398706233403415,0.17439336763808092,0.0857360090215775,balanced,H,0.7398706233403416,"profile=balanced, p=[0.74, 0.174, 0.086]","(2, 0)"
2026-07-01,ROUND_OF_32,United States,Bosnia-Herzegovina,0.6687742264731282,0.2152459572000948,0.11597981632677705,balanced,H,0.6687742264731282,"profile=balanced, p=[0.669, 0.215, 0.116]","(1, 1)"
2026-07-01,ROUND_OF_32,Belgium,Senegal,0.4866132271195562,0.29272689266317437,0.22065988021726943,balanced,D,0.29272689266317437,"profile=balanced, p=[0.487, 0.293, 0.221], balanced -> draw fallback","(1, 1)"
2026-07-02,ROUND_OF_32,Spain,Austria,0.6361406729790258,0.23275359304765295,0.13110573397332126,balanced,H,0.6361406729790258,"profile=balanced, p=[0.636, 0.233, 0.131]","(1, 1)"
2026-07-02,ROUND_OF_32,Switzerland,Algeria,0.41474826406199705,0.27715961594863264,0.30809211998937025,balanced,D,0.27715961594863264,"profile=balanced, p=[0.415, 0.277, 0.308], balanced -> draw fallback","(1, 1)"
2026-07-02,ROUND_OF_32,Portugal,Croatia,0.5950580485911736,0.24156083314547128,0.16338111826335508,balanced,H,0.5950580485911736,"profile=balanced, p=[0.595, 0.242, 0.163]","(2, 0)"
2026-07-03,ROUND_OF_32,Australia,Egypt,0.4620564295684151,0.283174771400089,0.25476879903149585,balanced,D,0.28317477140008906,"profile=balanced, p=[0.462, 0.283, 0.255], balanced -> draw fallback","(1, 1)"
2026-07-03,ROUND_OF_32,Argentina,Cape Verde Islands,0.7564315440562025,0.16910410685713287,0.07446434908666459,balanced,H,0.7564315440562026,"profile=balanced, p=[0.756, 0.169, 0.074]","(2, 0)"
2026-07-03,ROUND_OF_32,Colombia,Ghana,0.6241465458019376,0.24292490014091092,0.1329285540571515,balanced,H,0.6241465458019376,"profile=balanced, p=[0.624, 0.243, 0.133]","(1, 0)"
