date,stage,team_a,team_b,p_home,p_draw,p_away,profile,pick,confidence,rationale,scoreline
2026-06-29,ROUND_OF_32,Germany,Paraguay,0.65242796746128,0.23032377506783577,0.11724825747088417,safe,H,0.6678092010831302,"profile=safe, p=[0.668, 0.212, 0.12], safe favourite","(1, 1)"
2026-06-29,ROUND_OF_32,Netherlands,Morocco,0.4737387213083652,0.2879631570650436,0.23829812162659117,safe,H,0.4877851360839797,"profile=safe, p=[0.488, 0.267, 0.245], safe favourite","(1, 1)"
2026-06-29,ROUND_OF_32,Brazil,Japan,0.44710236355015237,0.279047002182472,0.2738506342673756,safe,H,0.45993676098478437,"profile=safe, p=[0.46, 0.258, 0.282], safe favourite","(1, 1)"
2026-06-30,ROUND_OF_32,Ivory Coast,Norway,0.3618454011963677,0.29105268360954634,0.347101915194086,safe,H,0.3726927229129232,"profile=safe, p=[0.373, 0.27, 0.358], safe favourite","(1, 1)"
2026-06-30,ROUND_OF_32,Mexico,Ecuador,0.3641009734887555,0.3272878016825655,0.3086112248286791,safe,H,0.3764207659895956,"profile=safe, p=[0.376, 0.305, 0.319], safe favourite","(0, 0)"
2026-06-30,ROUND_OF_32,France,Sweden,0.6994186953401202,0.1919809487102061,0.10860035594967371,safe,H,0.7131090301544061,"profile=safe, p=[0.713, 0.176, 0.111], safe favourite","(2, 1)"
2026-07-01,ROUND_OF_32,England,Congo DR,0.7398706233403415,0.17439336763808092,0.0857360090215775,safe,H,0.7530024873003576,"profile=safe, p=[0.753, 0.16, 0.087], safe favourite","(2, 0)"
2026-07-01,ROUND_OF_32,United States,Bosnia-Herzegovina,0.6687742264731282,0.2152459572000948,0.11597981632677705,safe,H,0.6834859860021157,"profile=safe, p=[0.683, 0.198, 0.119], safe favourite","(1, 1)"
2026-07-01,ROUND_OF_32,Belgium,Senegal,0.4866132271195562,0.29272689266317437,0.22065988021726943,safe,H,0.5012872531131018,"profile=safe, p=[0.501, 0.271, 0.227], safe favourite","(1, 1)"
2026-07-02,ROUND_OF_32,Spain,Austria,0.6361406729790258,0.23275359304765295,0.13110573397332126,safe,H,0.6512999124566157,"profile=safe, p=[0.651, 0.214, 0.134], safe favourite","(1, 1)"
2026-07-02,ROUND_OF_32,Switzerland,Algeria,0.41474826406199705,0.27715961594863264,0.30809211998937025,safe,H,0.4265710920672108,"profile=safe, p=[0.427, 0.257, 0.317], safe favourite","(1, 1)"
2026-07-02,ROUND_OF_32,Portugal,Croatia,0.5950580485911736,0.24156083314547128,0.16338111826335508,safe,H,0.6097881417474478,"profile=safe, p=[0.61, 0.223, 0.167], safe favourite","(2, 0)"
2026-07-03,ROUND_OF_32,Australia,Egypt,0.4620564295684151,0.283174771400089,0.25476879903149585,safe,H,0.47552201330988886,"profile=safe, p=[0.476, 0.262, 0.262], safe favourite","(1, 1)"
2026-07-03,ROUND_OF_32,Argentina,Cape Verde Islands,0.7564315440562025,0.16910410685713287,0.07446434908666459,safe,H,0.769443143614022,"profile=safe, p=[0.769, 0.155, 0.076], safe favourite","(2, 0)"
2026-07-03,ROUND_OF_32,Colombia,Ghana,0.6241465458019376,0.24292490014091092,0.1329285540571515,safe,H,0.6396861143468614,"profile=safe, p=[0.64, 0.224, 0.136], safe favourite","(1, 0)"
