run,champion,runner_up,third_place
0,Croatia,Brazil,France
1,Brazil,Portugal,Netherlands
2,Portugal,Brazil,Morocco
3,Morocco,England,Switzerland
4,France,Argentina,Japan
5,England,Spain,Argentina
6,Spain,Mexico,Colombia
7,Spain,Colombia,Japan
8,Morocco,Argentina,Japan
9,Colombia,France,Croatia
10,Argentina,Morocco,Brazil
11,England,Senegal,Colombia
12,Argentina,France,Portugal
13,Morocco,Argentina,Spain
14,England,France,Spain
15,France,Mexico,Spain
16,England,Austria,Netherlands
17,Brazil,Croatia,Canada
18,Germany,Japan,Spain
19,Argentina,Spain,France
20,Spain,Argentina,Brazil
21,France,Mexico,Portugal
22,Spain,England,Switzerland
23,Congo DR,France,Spain
24,France,Egypt,Portugal
25,Japan,Portugal,Australia
26,England,France,Belgium
27,Argentina,France,Japan
28,Netherlands,Brazil,Spain
29,France,Colombia,Senegal
30,Portugal,Argentina,Netherlands
31,Argentina,Netherlands,United States
32,Argentina,Senegal,France
33,Spain,Algeria,Ecuador
34,Spain,Australia,France
35,Colombia,Germany,Portugal
36,Spain,Brazil,Switzerland
37,Algeria,France,England
38,Colombia,France,Brazil
39,Germany,Switzerland,Portugal
40,Colombia,Portugal,Canada
41,England,France,Argentina
42,Argentina,United States,Norway
43,France,England,Algeria
44,Argentina,Canada,Japan
45,Argentina,Netherlands,Spain
46,France,Norway,Spain
47,Argentina,Belgium,France
48,Netherlands,Brazil,Croatia
49,Morocco,Argentina,Belgium
50,Argentina,France,Japan
51,France,Mexico,Colombia
52,Argentina,Belgium,Netherlands
53,Japan,France,Switzerland
54,Morocco,England,Belgium
55,Argentina,Spain,Mexico
56,England,France,Portugal
57,Mexico,Belgium,Canada
58,Morocco,Japan,Spain
59,Spain,Mexico,Morocco
60,Portugal,Japan,Canada
61,Croatia,Colombia,England
62,Mexico,Portugal,France
63,France,Ecuador,Spain
64,England,Canada,Spain
65,Japan,Austria,France
66,Brazil,Canada,Spain
67,Ecuador,Portugal,Algeria
68,Senegal,Argentina,Germany
69,Germany,Colombia,Belgium
70,England,France,Australia
71,Spain,Argentina,Germany
72,Argentina,Belgium,Germany
73,Netherlands,Algeria,England
74,England,Spain,Australia
75,England,Spain,Germany
76,France,Norway,Argentina
77,Argentina,Austria,Germany
78,Portugal,Brazil,Colombia
79,Germany,Japan,Algeria
80,England,Portugal,France
81,Japan,France,Australia
82,Switzerland,United States,France
83,Spain,Switzerland,France
84,Ecuador,Spain,Netherlands
85,England,Germany,Argentina
86,Colombia,Morocco,Mexico
87,Japan,Spain,Argentina
88,France,Australia,Spain
89,Argentina,France,Brazil
90,Sweden,Colombia,England
91,Colombia,France,Spain
92,Croatia,Ecuador,Argentina
93,England,Portugal,Colombia
94,Mexico,Netherlands,Belgium
95,Brazil,Netherlands,Switzerland
96,Brazil,Portugal,Colombia
97,Norway,Germany,Colombia
98,Argentina,Portugal,Mexico
99,Colombia,France,Portugal
100,Colombia,Germany,Brazil
101,Argentina,France,Ivory Coast
102,Brazil,Spain,France
103,France,England,Austria
104,France,Colombia,Spain
105,Algeria,Croatia,Japan
106,Argentina,France,Spain
107,Argentina,Spain,Netherlands
108,England,France,Spain
109,Norway,Germany,Spain
110,France,Argentina,United States
111,Portugal,Argentina,Sweden
112,France,Argentina,Spain
113,Colombia,Belgium,Congo DR
114,Japan,Spain,Morocco
115,Argentina,Morocco,Japan
116,Morocco,Argentina,Brazil
117,Netherlands,Algeria,United States
118,Mexico,Spain,France
119,France,England,Spain
120,Spain,Australia,Morocco
121,Argentina,Belgium,Netherlands
122,Japan,France,Switzerland
123,Argentina,Germany,England
124,Ivory Coast,France,Argentina
125,Netherlands,Australia,England
126,Netherlands,Ecuador,Argentina
127,Switzerland,Spain,France
128,Argentina,Spain,Brazil
129,Spain,England,Australia
130,France,Switzerland,Brazil
131,Algeria,France,Ecuador
132,Colombia,Canada,Japan
133,Senegal,Norway,Canada
134,Spain,Mexico,Germany
135,France,Brazil,Argentina
136,France,Argentina,Norway
137,Colombia,Croatia,France
138,Canada,Switzerland,England
139,Portugal,Mexico,Argentina
140,France,Brazil,Switzerland
141,Argentina,Spain,Ecuador
142,Spain,England,Netherlands
143,France,Brazil,Algeria
144,Mexico,Germany,Argentina
145,Egypt,Spain,Germany
146,Canada,Algeria,United States
147,Netherlands,Colombia,Mexico
148,France,Argentina,England
149,Senegal,England,Colombia
150,Morocco,Argentina,Ecuador
151,Argentina,Portugal,Netherlands
152,Argentina,France,Norway
153,Argentina,Netherlands,Norway
154,Norway,Canada,Portugal
155,Argentina,Morocco,Spain
156,Brazil,Morocco,Argentina
157,Mexico,France,Ghana
158,Brazil,United States,France
159,Germany,Brazil,Argentina
160,Brazil,France,Argentina
161,Argentina,Morocco,Portugal
162,Belgium,England,Netherlands
163,Japan,Netherlands,Senegal
164,Colombia,France,Belgium
165,Netherlands,Australia,Austria
166,Switzerland,France,Belgium
167,France,Ghana,England
168,Germany,Algeria,Mexico
169,France,England,Spain
170,Germany,England,Bosnia-Herzegovina
171,Spain,Colombia,Morocco
172,Portugal,Ecuador,Argentina
173,Argentina,Germany,England
174,Portugal,Colombia,Japan
175,England,Spain,France
176,Brazil,Spain,France
177,Argentina,Morocco,Spain
178,Argentina,Belgium,Ecuador
179,Portugal,Japan,Argentina
180,Netherlands,Colombia,Japan
181,France,Colombia,Austria
182,France,Argentina,Brazil
183,France,Argentina,Austria
184,Colombia,Netherlands,Belgium
185,Argentina,France,England
186,Argentina,Netherlands,United States
187,Switzerland,Portugal,France
188,Croatia,Ecuador,Germany
189,Argentina,France,England
190,Japan,Netherlands,Portugal
191,France,England,Australia
192,Japan,France,Colombia
193,Austria,Colombia,England
