team,championship_prob
Argentina,0.1658
France,0.1403
Spain,0.1066
England,0.0922
Brazil,0.0559
Netherlands,0.0446
Portugal,0.042
Germany,0.0376
Belgium,0.0367
Colombia,0.0339
Japan,0.033
Morocco,0.0303
Mexico,0.0283
Canada,0.0157
Switzerland,0.0149
United States,0.0144
Norway,0.0143
Australia,0.0127
Ivory Coast,0.0118
Croatia,0.0115
Algeria,0.0109
Senegal,0.0109
Ecuador,0.0086
Egypt,0.0074
Austria,0.0063
Paraguay,0.0046
Sweden,0.0039
Ghana,0.0023
Congo DR,0.0012
Bosnia-Herzegovina,0.0007
Cape Verde Islands,0.0007
